Year,Geschlecht,Altersklasse,Grad des Unsicherheitsgefühls,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2019,Männlich,,Eher unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,Männlich,,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),2.1
2021,Männlich,,Eher unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,Männlich,,Sehr unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,Männlich,,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),0.2
2021,Männlich,,Sehr unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,16 bis unter 25 Jahre,Sehr sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,16 bis unter 25 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),75.5
2021,,16 bis unter 25 Jahre,Sehr sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,16 bis unter 25 Jahre,Eher sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,16 bis unter 25 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),22.2
2021,,16 bis unter 25 Jahre,Eher sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,16 bis unter 25 Jahre,Eher unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,16 bis unter 25 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),1.7
2021,,16 bis unter 25 Jahre,Eher unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,16 bis unter 25 Jahre,Sehr unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,16 bis unter 25 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),0.6
2021,,16 bis unter 25 Jahre,Sehr unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,25 bis unter 35 Jahre,Sehr sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,25 bis unter 35 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),71.0
2021,,25 bis unter 35 Jahre,Sehr sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,25 bis unter 35 Jahre,Eher sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,25 bis unter 35 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),25.4
2021,,25 bis unter 35 Jahre,Eher sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,25 bis unter 35 Jahre,Eher unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,25 bis unter 35 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),3.4
2021,,25 bis unter 35 Jahre,Eher unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,25 bis unter 35 Jahre,Sehr unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,25 bis unter 35 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),0.2
2021,,25 bis unter 35 Jahre,Sehr unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,35 bis unter 45 Jahre,Sehr sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,35 bis unter 45 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),70.7
2021,,35 bis unter 45 Jahre,Sehr sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,35 bis unter 45 Jahre,Eher sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,35 bis unter 45 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),27.6
2021,,35 bis unter 45 Jahre,Eher sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,35 bis unter 45 Jahre,Eher unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,35 bis unter 45 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),1.6
2021,,35 bis unter 45 Jahre,Eher unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,35 bis unter 45 Jahre,Sehr unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,35 bis unter 45 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),0.1
2021,,35 bis unter 45 Jahre,Sehr unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,45 bis unter 55 Jahre,Sehr sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,45 bis unter 55 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),67.2
2021,,45 bis unter 55 Jahre,Sehr sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,45 bis unter 55 Jahre,Eher sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,45 bis unter 55 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),30.6
2021,,45 bis unter 55 Jahre,Eher sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,45 bis unter 55 Jahre,Eher unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,45 bis unter 55 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),2.0
2021,,45 bis unter 55 Jahre,Eher unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,45 bis unter 55 Jahre,Sehr unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,45 bis unter 55 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),0.1
2021,,45 bis unter 55 Jahre,Sehr unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,55 bis unter 65 Jahre,Sehr sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,55 bis unter 65 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),61.0
2021,,55 bis unter 65 Jahre,Sehr sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,55 bis unter 65 Jahre,Eher sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,55 bis unter 65 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),36.4
2021,,55 bis unter 65 Jahre,Eher sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,55 bis unter 65 Jahre,Eher unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,55 bis unter 65 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),2.3
2021,,55 bis unter 65 Jahre,Eher unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,55 bis unter 65 Jahre,Sehr unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,55 bis unter 65 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),0.3
2021,,55 bis unter 65 Jahre,Sehr unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,65 bis unter 75 Jahre,Sehr sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,65 bis unter 75 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),54.9
2021,,65 bis unter 75 Jahre,Sehr sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,65 bis unter 75 Jahre,Eher sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,65 bis unter 75 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),43.4
2021,,65 bis unter 75 Jahre,Eher sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,65 bis unter 75 Jahre,Eher unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,65 bis unter 75 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),1.5
2021,,65 bis unter 75 Jahre,Eher unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,65 bis unter 75 Jahre,Sehr unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,65 bis unter 75 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),0.2
2021,,65 bis unter 75 Jahre,Sehr unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,75 Jahre und älter,Sehr sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,75 Jahre und älter,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),44.6
2021,,75 Jahre und älter,Sehr sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,75 Jahre und älter,Eher sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,75 Jahre und älter,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),51.5
2021,,75 Jahre und älter,Eher sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,75 Jahre und älter,Eher unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,75 Jahre und älter,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),3.6
2021,,75 Jahre und älter,Eher unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,75 Jahre und älter,Sehr unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,75 Jahre und älter,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),0.3
2021,,75 Jahre und älter,Sehr unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2010,,,,,,,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt",88.0
2011,,,,,,,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt",87.1
2012,,,,,,,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt",87.5
2013,,,,,,,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt",86.5
2014,,,,,,,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt",86.9
2015,,,,,,,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt",86.2
2016,,,,,,,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt",85.9
2017,,,,,,,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt",85.8
2018,,,,,,,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt",86.7
2019,,,,,,,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt",86.9
2020,,,,|,,,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt",91.8
2021,,,,.,,,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt",
2022,,,,.,,,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt",
2023,,,,,,,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt",89.3
